Mr Bates thinks the disappearance of November's protest vote could tip the scales his way.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	tip the scales	figurative	identical	PROPN PROPN VERB DET NOUN ADP PROPN NOUN NOUN VERB VERB DET NOUN ADJ NOUN	▁Mr ▁B ates ▁thinks ▁the ▁disappearance ▁of ▁November ' s ▁protest ▁vote ▁could ▁tip ▁the ▁scales ▁his ▁way .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PROPN PROPN PROPN VERB DET NOUN ADP PROPN PROPN PROPN NOUN NOUN VERB VERB DET NOUN ADJ NOUN NOUN
I think that knowledge tipped the scales.	0 0 0 0 1 0 1	tip the scales	figurative	inflection	PRON VERB ADP NOUN VERB DET NOUN	▁I ▁think ▁that ▁knowledge ▁ tipped ▁the ▁scales .	0 0 0 0 1 1 0 1 1	PRON VERB ADP NOUN VERB VERB DET NOUN NOUN
Side Wink ( 9.38 ), a pocket Hercules who tips the scales at barely 55lbs, has a great chance, says trainer Pam Heasman.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	inflection	PROPN PROPN PUNCT NUM PUNCT DET NOUN NOUN NOUN VERB DET NOUN ADP ADV NOUN VERB DET ADJ NOUN VERB NOUN PROPN PROPN	▁Side ▁Win k ▁( ▁9. 38 ▁ ), ▁a ▁pocket ▁Her cul es ▁who ▁tip s ▁the ▁scales ▁at ▁barely ▁55 l b s , ▁has ▁a ▁great ▁chance , ▁says ▁train er ▁P am ▁He a sman .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PUNCT NUM NUM PUNCT PUNCT DET NOUN NOUN NOUN NOUN NOUN VERB VERB DET NOUN ADP ADV NOUN NOUN NOUN NOUN NOUN VERB DET ADJ NOUN NOUN VERB NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN
A few freaks have been discovered from time to time, one amazing animal tipping the scales at no less than 43 lbs and a dwarf specimen at as little as 3 lbs, but these were abnormal.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	inflection	DET ADJ NOUN VERB VERB VERB ADP NOUN ADP NOUN NUM ADJ NOUN VERB DET NOUN ADP DET ADJ ADP NUM NOUN CCONJ DET ADJ NOUN ADP ADV ADJ ADP NUM NOUN CCONJ DET VERB ADJ	▁A ▁few ▁fre ak s ▁have ▁been ▁discovered ▁from ▁time ▁to ▁time , ▁one ▁amazing ▁animal ▁t ipping ▁the ▁scales ▁at ▁no ▁less ▁than ▁43 ▁l b s ▁and ▁a ▁d war f ▁specimen ▁at ▁as ▁little ▁as ▁3 ▁l b s , ▁but ▁these ▁were ▁abnormal .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN NOUN NOUN VERB VERB VERB ADP NOUN ADP NOUN NOUN NUM ADJ NOUN VERB VERB DET NOUN ADP DET ADJ ADP NUM NOUN NOUN NOUN CCONJ DET ADJ ADJ ADJ NOUN ADP ADV ADJ ADP NUM NOUN NOUN NOUN NOUN CCONJ DET VERB ADJ ADJ
It is simply something that must be done ; and, in the same way, I had to get rid of some woman, tip the scales back in the other direction.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	tip the scales	figurative	identical	PRON VERB ADV NOUN ADJ VERB VERB VERB PUNCT CCONJ ADP DET ADJ NOUN PRON VERB PART VERB VERB ADP DET NOUN VERB DET NOUN ADV ADP DET ADJ NOUN	▁It ▁is ▁simply ▁something ▁that ▁must ▁be ▁done ▁ ; ▁and , ▁in ▁the ▁same ▁way , ▁I ▁had ▁to ▁get ▁rid ▁of ▁some ▁woman , ▁tip ▁the ▁scales ▁back ▁in ▁the ▁other ▁direction .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PRON VERB ADV NOUN ADJ VERB VERB VERB PUNCT PUNCT CCONJ CCONJ ADP DET ADJ NOUN NOUN PRON VERB PART VERB VERB ADP DET NOUN NOUN VERB DET NOUN ADV ADP DET ADJ NOUN NOUN
Sead, a 26-year - old TV technician, used to tip the scales at 12st 8 lb.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	tip the scales	figurative	identical	PROPN DET NUM PUNCT ADJ NOUN NOUN VERB PART VERB DET NOUN ADP NOUN NUM NOUN	▁Sea d , ▁a ▁26 - year ▁- ▁old ▁TV ▁techni c ian , ▁used ▁to ▁tip ▁the ▁scales ▁at ▁12 st ▁8 ▁l b .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	PROPN PROPN PROPN DET NUM NUM NUM PUNCT ADJ NOUN NOUN NOUN NOUN NOUN VERB PART VERB DET NOUN ADP NOUN NOUN NUM NOUN NOUN NOUN
The knife did not tip the scales much to his advantage, but even a slim chance was better than none.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	identical	DET NOUN VERB ADV VERB DET NOUN ADJ ADP ADJ NOUN CCONJ ADV DET ADJ NOUN VERB ADJ ADP NOUN	▁The ▁knife ▁did ▁not ▁tip ▁the ▁scales ▁much ▁to ▁his ▁advantage , ▁but ▁even ▁a ▁s lim ▁chance ▁was ▁better ▁than ▁none .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADV VERB DET NOUN ADJ ADP ADJ NOUN NOUN CCONJ ADV DET ADJ ADJ NOUN VERB ADJ ADP NOUN NOUN
Cambridge also have the lightest in their cox, Leigh Vice, she tipped the scales at just seven stone, six.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	tip the scales	figurative	inflection	PROPN ADV VERB DET ADJ ADP ADJ NOUN PROPN PROPN PRON VERB DET NOUN ADP ADV NUM NOUN NUM	▁Cambridge ▁also ▁have ▁the ▁light est ▁in ▁their ▁co x , ▁Le igh ▁Vice , ▁she ▁ tipped ▁the ▁scales ▁at ▁just ▁seven ▁stone , ▁six .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	PROPN ADV VERB DET ADJ ADJ ADP ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN PRON VERB VERB DET NOUN ADP ADV NUM NOUN NOUN NUM NUM
It would not be long before de Lattre faced the divisions of Giap's new model army in the set - piece battles which the Vietminh were prepared to risk in a premature general offensive ; and it was in more conventional war of this kind where US assistance and particularly US munitions would apparently tip the scale.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tip the scales	figurative	inflection	PRON VERB ADV VERB ADJ ADP PROPN PROPN VERB DET NOUN ADP PROPN ADJ NOUN NOUN ADP DET VERB PUNCT NOUN NOUN ADJ DET PROPN VERB VERB PART VERB ADP DET ADJ ADJ NOUN PUNCT CCONJ PRON VERB ADP ADJ ADJ NOUN ADP DET NOUN ADV PROPN NOUN CCONJ ADV PROPN NOUN VERB ADV VERB DET NOUN	▁It ▁would ▁not ▁be ▁long ▁before ▁de ▁L at tre ▁faced ▁the ▁divisions ▁of ▁Gi ap ' s ▁new ▁model ▁army ▁in ▁the ▁set ▁- ▁piece ▁battle s ▁which ▁the ▁Vie t min h ▁were ▁prepared ▁to ▁risk ▁in ▁a ▁premature ▁general ▁offensive ▁ ; ▁and ▁it ▁was ▁in ▁more ▁conventional ▁war ▁of ▁this ▁kind ▁where ▁US ▁assistance ▁and ▁particularly ▁US ▁munitions ▁would ▁apparently ▁tip ▁the ▁scale .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADV VERB ADJ ADP PROPN PROPN PROPN PROPN VERB DET NOUN ADP PROPN PROPN PROPN PROPN ADJ NOUN NOUN ADP DET VERB PUNCT NOUN NOUN NOUN ADJ DET PROPN PROPN PROPN PROPN VERB VERB PART VERB ADP DET ADJ ADJ NOUN PUNCT PUNCT CCONJ PRON VERB ADP ADJ ADJ NOUN ADP DET NOUN ADV PROPN NOUN CCONJ ADV PROPN NOUN VERB ADV VERB DET NOUN NOUN
Did vanishing voters tip the electoral scales?	0 0 0 1 0 0 1	tip the scales	figurative	insertion-other	VERB VERB NOUN VERB DET ADJ NOUN	▁Did ▁van ish ing ▁voters ▁tip ▁the ▁elector al ▁scales ?	0 0 0 0 0 1 0 0 0 1 1	VERB VERB VERB VERB NOUN VERB DET ADJ ADJ NOUN NOUN
It would be this additional reassurance that would tip the scales in favour in any cost - benefit analysis, he argued.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	identical	PRON VERB VERB DET ADJ NOUN ADJ VERB VERB DET NOUN ADP NOUN ADP DET NOUN PUNCT NOUN NOUN PRON VERB	▁It ▁would ▁be ▁this ▁additional ▁re assurance ▁that ▁would ▁tip ▁the ▁scales ▁in ▁favour ▁in ▁any ▁cost ▁- ▁benefit ▁analysis , ▁he ▁argued .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET ADJ NOUN NOUN ADJ VERB VERB DET NOUN ADP NOUN ADP DET NOUN PUNCT NOUN NOUN NOUN PRON VERB VERB
You can hardly believe that a few stretchsuits and some nappies can possibly cost as much as they say, but nine months and a lot of shopping trips later, you will have been forced to accept that your new addition has managed to tip the scales severely in the debit direction.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	tip the scales	figurative	identical	PRON VERB ADV VERB ADP DET ADJ NOUN CCONJ DET NOUN VERB ADV VERB ADV ADJ ADP PRON VERB CCONJ NUM NOUN CCONJ DET NOUN ADP NOUN NOUN ADV PRON VERB VERB VERB VERB PART VERB ADP ADJ ADJ NOUN VERB VERB PART VERB DET NOUN ADV ADP DET NOUN NOUN	▁You ▁can ▁hardly ▁believe ▁that ▁a ▁few ▁stretch suits ▁and ▁some ▁n app ies ▁can ▁possibly ▁cost ▁as ▁much ▁as ▁they ▁say , ▁but ▁nine ▁months ▁and ▁a ▁lot ▁of ▁shopping ▁trips ▁later , ▁you ▁will ▁have ▁been ▁forced ▁to ▁accept ▁that ▁your ▁new ▁addition ▁has ▁managed ▁to ▁tip ▁the ▁scales ▁severely ▁in ▁the ▁debit ▁direction .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PRON VERB ADV VERB ADP DET ADJ NOUN NOUN CCONJ DET NOUN NOUN NOUN VERB ADV VERB ADV ADJ ADP PRON VERB VERB CCONJ NUM NOUN CCONJ DET NOUN ADP NOUN NOUN ADV ADV PRON VERB VERB VERB VERB PART VERB ADP ADJ ADJ NOUN VERB VERB PART VERB DET NOUN ADV ADP DET NOUN NOUN NOUN
