I kind of ruled the roost a bit, but we got on well.	0 0 0 1 0 1 0 0 0 0 0 0 0	rule the roost	figurative	inflection	PRON ADV ADV VERB DET NOUN DET NOUN CCONJ PRON VERB PART ADV	▁I ▁kind ▁of ▁ruled ▁the ▁ro ost ▁a ▁bit , ▁but ▁we ▁got ▁on ▁well .	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	PRON ADV ADV VERB DET NOUN NOUN DET NOUN NOUN CCONJ PRON VERB PART ADV ADV
The early part of the decade had seen the festival succumb entirely to the boys ' own heavy metal hackery that at that point ruled the roost in certain quarters, most significantly the mind of Jack Barrie, Marquee General Manager and responsible for booking the bands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	DET ADJ NOUN ADP DET NOUN VERB VERB DET NOUN VERB ADV ADP DET NOUN PART ADJ ADJ NOUN NOUN ADP ADP DET NOUN VERB DET NOUN ADP ADJ NOUN ADV ADV DET NOUN ADP PROPN PROPN PROPN PROPN PROPN CCONJ ADJ ADP VERB DET NOUN	▁The ▁early ▁part ▁of ▁the ▁decade ▁had ▁seen ▁the ▁festival ▁suc cum b ▁entirely ▁to ▁the ▁boys ▁' ▁own ▁heavy ▁metal ▁ha cker y ▁that ▁at ▁that ▁point ▁ruled ▁the ▁ro ost ▁in ▁certain ▁quarters , ▁most ▁significantly ▁the ▁mind ▁of ▁Jack ▁Bar rie , ▁Mar que e ▁General ▁Manager ▁and ▁responsible ▁for ▁booking ▁the ▁bands .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP DET NOUN VERB VERB DET NOUN VERB VERB VERB ADV ADP DET NOUN PART ADJ ADJ NOUN NOUN NOUN NOUN ADP ADP DET NOUN VERB DET NOUN NOUN ADP ADJ NOUN NOUN ADV ADV DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADJ ADP VERB DET NOUN NOUN
But it was those two who ruled the roost.	0 0 0 0 0 0 1 0 1	rule the roost	figurative	inflection	CCONJ PRON VERB DET NUM NOUN VERB DET NOUN	▁But ▁it ▁was ▁those ▁two ▁who ▁ruled ▁the ▁ro ost .	0 0 0 0 0 0 1 0 1 1 1	CCONJ PRON VERB DET NUM NOUN VERB DET NOUN NOUN NOUN
This gulf is shown most dramatically in the surprise ending, which obliges us to re - evaluate our reading of the novel by revealing that the anonymous, timid and sensitive lad who has been narrating the story of his early life in the first person is none other than Jaguar, the aggressive bully we have seen ruling the roost in the school.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	rule the roost	figurative	inflection	DET NOUN VERB VERB ADV ADV ADP DET NOUN NOUN ADJ VERB PRON PART VERB PUNCT VERB ADJ NOUN ADP DET NOUN ADP VERB ADP DET ADJ ADJ CCONJ ADJ NOUN NOUN VERB VERB VERB DET NOUN ADP ADJ ADJ NOUN ADP DET ADJ NOUN VERB NOUN ADJ ADP PROPN DET ADJ NOUN PRON VERB VERB VERB DET NOUN ADP DET NOUN	▁This ▁gulf ▁is ▁shown ▁most ▁dramatically ▁in ▁the ▁surprise ▁ending , ▁which ▁oblige s ▁us ▁to ▁re ▁- ▁evaluate ▁our ▁reading ▁of ▁the ▁novel ▁by ▁reveal ing ▁that ▁the ▁anonymous , ▁timid ▁and ▁sensitive ▁la d ▁who ▁has ▁been ▁ nar rating ▁the ▁story ▁of ▁his ▁early ▁life ▁in ▁the ▁first ▁person ▁is ▁none ▁other ▁than ▁Ja gu ar , ▁the ▁aggressive ▁bull y ▁we ▁have ▁seen ▁ruling ▁the ▁ro ost ▁in ▁the ▁school .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	DET NOUN VERB VERB ADV ADV ADP DET NOUN NOUN NOUN ADJ VERB VERB PRON PART VERB PUNCT VERB ADJ NOUN ADP DET NOUN ADP VERB VERB ADP DET ADJ ADJ ADJ CCONJ ADJ NOUN NOUN NOUN VERB VERB VERB VERB VERB DET NOUN ADP ADJ ADJ NOUN ADP DET ADJ NOUN VERB NOUN ADJ ADP PROPN PROPN PROPN PROPN DET ADJ NOUN NOUN PRON VERB VERB VERB DET NOUN NOUN ADP DET NOUN NOUN
It was generally agreed that Ella ruled the roost and that ‘ poor Miss Dean’ had a pretty thin time of it.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	PRON VERB ADV VERB ADP PROPN VERB DET NOUN CCONJ ADP PUNCT ADJ PROPN PROPN VERB DET ADV ADJ NOUN ADP PRON	▁It ▁was ▁generally ▁agreed ▁that ▁El la ▁ruled ▁the ▁ro ost ▁and ▁that ▁ ‘ ▁poor ▁Miss ▁De an ’ ▁had ▁a ▁pretty ▁thin ▁time ▁of ▁it .	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB ADP PROPN PROPN VERB DET NOUN NOUN CCONJ ADP PUNCT PUNCT ADJ PROPN PROPN PROPN PROPN VERB DET ADV ADJ NOUN ADP PRON PRON
I mean I 'm appalled at the way that teenagers are still being shown on the television as they were twenty years ago able to rule the roost because they did.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	rule the roost	figurative	identical	PRON VERB PRON VERB VERB ADP DET NOUN ADP NOUN VERB ADV VERB VERB ADP DET NOUN ADP PRON VERB NUM NOUN ADV ADJ PART VERB DET NOUN ADP PRON VERB	▁I ▁mean ▁I ▁' m ▁appall ed ▁at ▁the ▁way ▁that ▁tee na gers ▁are ▁still ▁being ▁shown ▁on ▁the ▁television ▁as ▁they ▁were ▁twenty ▁years ▁ago ▁able ▁to ▁rule ▁the ▁ro ost ▁because ▁they ▁did .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	PRON VERB PRON VERB VERB VERB VERB ADP DET NOUN ADP NOUN NOUN NOUN VERB ADV VERB VERB ADP DET NOUN ADP PRON VERB NUM NOUN ADV ADJ PART VERB DET NOUN NOUN ADP PRON VERB VERB
But Mr Norman rules the roost in the film field with a regular 4 million audience, twice the weekly cinema audience.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	CCONJ PROPN PROPN VERB DET NOUN ADP DET NOUN NOUN ADP DET ADJ NUM NUM NOUN ADJ DET ADJ NOUN NOUN	▁But ▁Mr ▁Norman ▁rules ▁the ▁ro ost ▁in ▁the ▁film ▁field ▁with ▁a ▁regular ▁4 ▁million ▁audience , ▁twice ▁the ▁weekly ▁cinema ▁audience .	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN PROPN VERB DET NOUN NOUN ADP DET NOUN NOUN ADP DET ADJ NUM NUM NOUN NOUN ADJ DET ADJ NOUN NOUN NOUN
ULSTER still rules the roost in ladies hockey.	0 0 1 0 1 0 0 0	rule the roost	figurative	inflection	PROPN ADV VERB DET NOUN ADP NOUN VERB	▁UL S TER ▁still ▁rules ▁the ▁ro ost ▁in ▁ladies ▁hoc key .	0 0 0 0 1 0 1 1 0 0 0 0 0	PROPN PROPN PROPN ADV VERB DET NOUN NOUN ADP NOUN VERB VERB VERB
Hot from New Zealand where they virtually rule the roost are Macpack with a small range of good looking climbing and expedition sacks from 40 litres to 85 litres.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	identical	ADJ ADP PROPN PROPN ADV PRON ADV VERB DET NOUN VERB PROPN ADP DET ADJ NOUN ADP ADJ VERB NOUN CCONJ NOUN NOUN ADP NUM NOUN ADP NUM NOUN	▁Hot ▁from ▁New ▁Zealand ▁where ▁they ▁virtual ly ▁rule ▁the ▁ro ost ▁are ▁Mac pack ▁with ▁a ▁small ▁range ▁of ▁good ▁looking ▁climb ing ▁and ▁expedit ion ▁sack s ▁from ▁40 ▁litres ▁to ▁85 ▁litres .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADP PROPN PROPN ADV PRON ADV ADV VERB DET NOUN NOUN VERB PROPN PROPN ADP DET ADJ NOUN ADP ADJ VERB NOUN NOUN CCONJ NOUN NOUN NOUN NOUN ADP NUM NOUN ADP NUM NOUN NOUN
The Redcoats ruled the roost in the world of the British holiday for many years, providing an apprenticeship for Roy Hudd, and a host of other showbiz dreamers.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	DET PROPN VERB DET NOUN ADP DET NOUN ADP DET ADJ NOUN ADP ADJ NOUN VERB DET NOUN ADP PROPN PROPN CCONJ DET NOUN ADP ADJ NOUN NOUN	▁The ▁Red co ats ▁ruled ▁the ▁ro ost ▁in ▁the ▁world ▁of ▁the ▁British ▁holiday ▁for ▁many ▁years , ▁providing ▁an ▁apprenticeship ▁for ▁Roy ▁Hu dd , ▁and ▁a ▁host ▁of ▁other ▁show b iz ▁dream ers .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN VERB DET NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN ADP ADJ NOUN NOUN VERB DET NOUN ADP PROPN PROPN PROPN PROPN CCONJ DET NOUN ADP ADJ NOUN NOUN NOUN NOUN NOUN NOUN
‘ She would, ’ Constance said, ‘ you know how she needed to rule the roost.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rule the roost	figurative	identical	PUNCT PRON VERB PUNCT PROPN VERB PUNCT PRON VERB ADV PRON VERB PART VERB DET NOUN	▁ ‘ ▁She ▁would , ▁ ’ ▁Consta nce ▁said , ▁ ‘ ▁you ▁know ▁how ▁she ▁needed ▁to ▁rule ▁the ▁ro ost .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PUNCT PUNCT PRON VERB VERB PUNCT PUNCT PROPN PROPN VERB VERB PUNCT PUNCT PRON VERB ADV PRON VERB PART VERB DET NOUN NOUN NOUN
‘ It's amazing that Barry Norman, a cosy sort of guy, has ruled the roost on British television for 20 years and there has never been a real attempt to displace him before,’ says cinema historian and Anthony Hopkins biographer Quentin Falk.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	PUNCT PRON ADJ ADP PROPN PROPN DET NOUN NOUN ADP NOUN VERB VERB DET NOUN ADP ADJ NOUN ADP NUM NOUN CCONJ ADV VERB ADV VERB DET ADJ NOUN PART VERB PRON ADJ VERB NOUN NOUN CCONJ PROPN PROPN NOUN PROPN PROPN	▁ ‘ ▁It ' s ▁amazing ▁that ▁Bar ry ▁Norman , ▁a ▁co sy ▁sort ▁of ▁ guy , ▁has ▁ruled ▁the ▁ro ost ▁on ▁British ▁television ▁for ▁20 ▁years ▁and ▁there ▁has ▁never ▁been ▁a ▁real ▁attempt ▁to ▁dis place ▁him ▁before , ’ ▁says ▁cinema ▁his tor ian ▁and ▁An th ony ▁Ho pkins ▁bio graph er ▁Que ntin ▁F alk .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON PRON PRON ADJ ADP PROPN PROPN PROPN PROPN DET NOUN NOUN NOUN ADP NOUN NOUN NOUN VERB VERB DET NOUN NOUN ADP ADJ NOUN ADP NUM NOUN CCONJ ADV VERB ADV VERB DET ADJ NOUN PART VERB VERB PRON ADJ ADJ ADJ VERB NOUN NOUN NOUN NOUN CCONJ PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN
The late 1960s and early 1970s saw Lee Trevino ruling the roost on both sides of the Pond.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	rule the roost	figurative	inflection	DET ADJ NOUN CCONJ ADJ NOUN VERB PROPN PROPN VERB DET NOUN ADP DET NOUN ADP DET PROPN	▁The ▁late ▁1960 s ▁and ▁early ▁1970 s ▁saw ▁Le e ▁Trevi no ▁ruling ▁the ▁ro ost ▁on ▁both ▁sides ▁of ▁the ▁Po nd .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	DET ADJ NOUN NOUN CCONJ ADJ NOUN NOUN VERB PROPN PROPN PROPN PROPN VERB DET NOUN NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN
Joanne rules the roost	0 1 0 1	rule the roost	figurative	inflection	PROPN VERB DET NOUN	▁Jo anne ▁rules ▁the ▁ro ost	0 0 1 0 1 1	PROPN PROPN VERB DET NOUN NOUN
Otherwise it was India's spinners who ruled the roost yet again, with leg - spinner Kumble finishing with figures of four for 70.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rule the roost	figurative	inflection	ADV PRON VERB PROPN NOUN NOUN VERB DET NOUN ADV ADV ADP NOUN PUNCT NOUN ADJ VERB ADP NOUN ADP NUM ADP NUM	▁Otherwise ▁it ▁was ▁India ' s ▁spin ners ▁who ▁ruled ▁the ▁ro ost ▁yet ▁again , ▁with ▁leg ▁- ▁spin ner ▁Ku mble ▁finishing ▁with ▁figures ▁of ▁four ▁for ▁70 .	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB PROPN PROPN PROPN NOUN NOUN NOUN VERB DET NOUN NOUN ADV ADV ADV ADP NOUN PUNCT NOUN NOUN ADJ ADJ VERB ADP NOUN ADP NUM ADP NUM NUM
But she ruled the roost : ‘ I don't like the heat.	0 0 1 0 1 0 0 0 0 0 0 0	rule the roost	figurative	inflection	CCONJ PRON VERB DET NOUN PUNCT PUNCT PRON VERB VERB DET NOUN	▁But ▁she ▁ruled ▁the ▁ro ost ▁ : ▁ ‘ ▁I ▁don ' t ▁like ▁the ▁heat .	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB DET NOUN NOUN PUNCT PUNCT PUNCT PUNCT PRON VERB VERB VERB VERB DET NOUN NOUN
